Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784241023,10,POST,/query [on-topic],0.700000,0.000000,7900,8600,8600,8600,10000,10000,10000,10000,10000,10000,10000,15,1,7900,7884.856853465317,5895.180835002975,10229.04425500019,6712.066666666667
1784241023,10,POST,/query [out-of-domain],0.200000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1800,1871.1981396675885,1759.5417920019827,2055.0865850018454,634.0
1784241023,10,,Aggregated,0.900000,0.000000,7900,7900,8600,8600,10000,10000,10000,10000,10000,10000,10000,18,1,7800,6882.580401165696,1759.5417920019827,10229.04425500019,5699.055555555556
1784241024,10,POST,/query [on-topic],0.700000,0.000000,8000,8600,8600,10000,11000,11000,11000,11000,11000,11000,11000,17,1,7900,8101.753035351816,5895.180835002975,11460.861587998806,7031.705882352941
1784241024,10,POST,/query [out-of-domain],0.200000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1800,1871.1981396675885,1759.5417920019827,2055.0865850018454,634.0
1784241024,10,,Aggregated,0.900000,0.000000,8000,8600,8600,10000,11000,11000,11000,11000,11000,11000,11000,20,1,7800,7167.1698009991815,1759.5417920019827,11460.861587998806,6072.05
1784241025,10,POST,/query [on-topic],0.700000,0.000000,8000,8600,8600,10000,11000,11000,11000,11000,11000,11000,11000,17,1,7900,8101.753035351816,5895.180835002975,11460.861587998806,7031.705882352941
1784241025,10,POST,/query [out-of-domain],0.200000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1800,1871.1981396675885,1759.5417920019827,2055.0865850018454,634.0
1784241025,10,,Aggregated,0.900000,0.000000,8000,8600,8600,10000,11000,11000,11000,11000,11000,11000,11000,20,1,7800,7167.1698009991815,1759.5417920019827,11460.861587998806,6072.05
1784241026,10,POST,/query [on-topic],0.900000,0.000000,8000,8600,8600,10000,11000,11000,11000,11000,11000,11000,11000,17,1,7900,8101.753035351816,5895.180835002975,11460.861587998806,7031.705882352941
